employee_id,full_name,gender,date_of_birth,phone_number,email,address,hire_date,department_id,position,base_salary,department_name,location,assign_id,project_id,role,assigned_date,hours_worked,project_name,start_date,end_date,budget,department_id_project,attendance_id,work_date,check_in,check_out,status,bd_id,description,type,amount,effective_date,salary_id,payment_date,month,year,total_amount,payment_status
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,1,2024-10-01,08:55:00,17:05:00,Present,1.0,Management Bonus,Bonus,1000.0,2024-09-15,2,2024-09-30,9.0,2024.0,8500.0,Paid
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,1,2024-10-01,08:55:00,17:05:00,Present,1.0,Management Bonus,Bonus,1000.0,2024-09-15,42,2024-10-31,10.0,2024.0,7350.0,Pending
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,1,2024-10-01,08:55:00,17:05:00,Present,14.0,Health Insurance Premium,Deduction,150.0,2024-10-01,2,2024-09-30,9.0,2024.0,8500.0,Paid
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,1,2024-10-01,08:55:00,17:05:00,Present,14.0,Health Insurance Premium,Deduction,150.0,2024-10-01,42,2024-10-31,10.0,2024.0,7350.0,Pending
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,21,2024-10-02,08:58:00,17:00:00,Present,1.0,Management Bonus,Bonus,1000.0,2024-09-15,2,2024-09-30,9.0,2024.0,8500.0,Paid
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,21,2024-10-02,08:58:00,17:00:00,Present,1.0,Management Bonus,Bonus,1000.0,2024-09-15,42,2024-10-31,10.0,2024.0,7350.0,Pending
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,21,2024-10-02,08:58:00,17:00:00,Present,14.0,Health Insurance Premium,Deduction,150.0,2024-10-01,2,2024-09-30,9.0,2024.0,8500.0,Paid
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,21,2024-10-02,08:58:00,17:00:00,Present,14.0,Health Insurance Premium,Deduction,150.0,2024-10-01,42,2024-10-31,10.0,2024.0,7350.0,Pending
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,41,2024-10-03,09:00:00,17:00:00,Present,1.0,Management Bonus,Bonus,1000.0,2024-09-15,2,2024-09-30,9.0,2024.0,8500.0,Paid
1,Bui Ngoc Anh,Female,1985-03-15,0967 428 315,ngocanh.bui@snakecompany.com,"Số 12, Ngõ 45, Phố Nguyễn Trãi, Thanh Xuân, Hà Nội",2015-06-01,1,HR Manager,90000.0,Human Resources,"Building A, Floor 1",23,6.0,Project Sponsor,2024-01-10,40.0,Skill Matrix & Upskill Roadmap,2024-01-10,2024-06-30,120000.0,1,41,2024-10-03,09:00:00,17:00:00,Present,1.0,Management Bonus,Bonus,1000.0,2024-09-15,42,2024-10-31,10.0,2024.0,7350.0,Pending
